1,G. Davoudi,23,G
12,Rafael Roballo,26,G
33,A. Ahaki,23,G
40,H. Pourhamidi,25,G
45,V. Sheikhveysi,29,G
2,M. Tayebi,30,D
3,P. Shirzadi,28,D
4,D. Mahini,23,D
5,Aghil Kaebi,26,D
6,M. Douraghi,26,D
8,E. Pourghaz,29,D
14,H. Bazyari,25,D
20,J. Abdi,23,D
28,B. Hashemi,22,D
7,H. Beytsaeid,26,M
11,M. Zobeydi,25,M
18,Deyvid Sacconi,29,M
19,M. Sharifi,25,M
22,H. Bahrami,25,M
26,A. Daghagheleh,21,M
29,I. Obeydipour,19,M
30,A. Alaei,25,M
31,M. Janadeleh,21,M
32,M. Ghanbarizadeh,21,M
9,F. Janfaza,23,A
10,R. Zahivi,29,A
17,S. Bahrani,27,A
23,F. Salarvand,28,A
24,A. Aashouri,28,A
70,M. Momeni,31,A
60,H. Hashemizadeh,19,A
