12,M. Farahani,28,G
30,A. Gohari,20,G
31,N. Safarzaei,21,G
2,A. Alenemeh,34,D
3,R. Aliari,22,D
5,A. Shahamati,18,D
10,A. Sadeghi,31,D
13,V. Hamdinejad,34,D
19,I. Prahić,29,D
34,M. Fakhreddini,26,D
4,M. Daneshgar,22,M
6,A. Ezzat,29,M
8,A. Rezavand,23,M
14,R. Asadi,20,M
16,T. Gholami,25,M
23,I. Mobali,34,M
70,Abbas Bouazar,24,M
32,M. Barvaeyh,21,M
9,I. Alekasir,26,A
11,M. Ghazi,31,A
24,F. Mohammadizadeh,22,A
77,A. Motahari,23,A
99,M. Baghdadi,21,A
33,A. Jabari,23,A
34,H. Khodabandelou,26,A
35,M. Yari,25,A
