1,H. Fallahzadeh,30,G
22,Alessandro,28,G
33,M. Akbar Monadi,20,G
3,Junior Lopes,29,D
5,S. Kouroshi,27,D
7,A. Zeynali,26,D
14,S. Lotfi,24,D
20,A. Shojaei,19,D
21,O. Khaledi,29,D
4,R. Shahalidoost,30,M
6,M. Badrlou,30,M
8,E. Sadeghi,37,M
9,M. Torabi,22,M
11,A. Gholizadeh,20,M
13,E. Shakouri,32,M
18,H. Shiri,30,M
19,S. Moshkelpoor,26,M
23,A. Moghadam,25,M
27,H. Kamyab,25,M
28,M. Soltani,17,M
60,A. Alizadeh,23,M
61,M. Esmaeili Beigi,24,M
62,M. Ramezani,27,M
10,G. Rezaei,32,A
16,Naldinho,23,A
17,M. Hasanzadeh,25,A
24,R. Jafari,19,A
77,B. Salari,23,A
63,M. Alinejad,23,A
64,A. Mazloum,20,A
65,B. Niari,18,A
